交易日,最后修改时间,最后修改毫秒,最新价,最高价,最低价,今开盘,今收盘,数量,成交金额,申买价一,申买量一,申卖价一,申卖量一,申买价二,申买量二,申卖价二,申卖量二,申买价三,申买量三,申卖价三,申卖量三,申买价四,申买量四,申卖价四,申卖量四,申买价五,申买量五,申卖价五,申卖量五,当日均价,成交笔数
20170328,14:32:08,0,14.66,14.79,14.54,14.73,1.79769e+308,5039761,7.37391e+07,14.65,3600,14.66,5400,14.64,5100,14.67,4583,14.63,10200,14.68,12100,14.62,13066,14.69,5100,14.61,15800,14.7,16300,1.79769e+308,9223372036854775807
20170417,09:36:43,0,13.57,13.66,13.51,13.6,1.79769e+308,242700,3.29289e+06,13.55,700,13.57,12900,13.54,8800,13.58,18334,13.53,8800,13.6,100,13.52,10300,13.63,1600,13.51,31700,13.64,700,1.79769e+308,9223372036854775807
